TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
pl.edu.wat.wcy.pz.restaurantServer.controller.UserController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5226648351648351,50,31
pl.edu.wat.wcy.pz.restaurantServer.NEWInstance.UserServiceController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,12,10
pl.edu.wat.wcy.pz.restaurantServer.Interface.UserRepositoryImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.53,84,32
pl.edu.wat.wcy.pz.restaurantServer.Interface.MailServiceImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6857638888888888,34,12
pl.edu.wat.wcy.pz.restaurantServer.DTO.Role,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9107142857142857,22,17
pl.edu.wat.wcy.pz.restaurantServer.DTO.Reservation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,145,145
pl.edu.wat.wcy.pz.restaurantServer.DTO.User,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10416666666666666,113,5
